file_name,tp,fp,tn,fn,exp_part,Exploit Types,Minimum Time,train/test splits,Attack Link,catch_any
BentFinance001.csv,3,55,293,0,validation,Access Control,19/11/2021 10:10,Validation,https://halborn.com/explained-the-bent-finance-hack-december-2021/,True
BrincFinance001.csv,1,42,185,0,validation,Access Control,30/11/2021 4:19,Validation,https://medium.com/@brinc.fi/brinc-fi-exploit-post-mortem-76ca6b355211,True
BrincFinance002.csv,1,2,482,0,validation,Access Control,30/11/2021 4:53,Validation,https://medium.com/@brinc.fi/brinc-fi-exploit-post-mortem-76ca6b355211,True
Bt.Finance001.csv,0,0,0,1,validation,Flash Loan Attack,08/02/2021 20:13,Validation,https://btfinance.medium.com/bt-finance-exploit-analysis-report-a0843cb03b28,False
CashioApp001.csv,0,646,7159,1,validation,Access Control,10/03/2022 2:59,Validation,https://ambcrypto.com/decoding-the-if-but-and-so-of-cashio-hack/,False
CoinSWOP001.csv,0,1,10,12,validation,Rug pull,03/12/2020 21:27,Validation,https://twitter.com/CaptainJackAPE/status/1333759436792315905,False
FakeDfinityTokenSale001.csv,0,1,24,2,validation,Phishing,16/05/2019 16:29,Validation,,False
FakePhishing4287001.csv,6,0,17,0,validation,Phishing,20/09/2019 20:02,Validation,,True
HarvestFinance001.csv,13,480,1420,0,validation,Flash Loan Attack,20/10/2020 15:04,Validation,https://www.coindesk.com/tech/2020/10/26/harvest-finance-24m-attack-triggers-570m-bank-run-in-latest-defi-exploit/,True
Holy001.csv,1,3,950,1,validation,Rug pull,17/12/2020 20:38,Validation,https://defiyield.app/rekt-database/holy,True
IndexFinance001.csv,1,282,8993,0,validation,Flash Loan Attack,06/12/2020 11:57,Validation,https://decrypt.co/83681/defi-protocol-indexed-finance-hacked-for-16-million-team-finds-hacker,True
MonoXfinance002.csv,1,40,556,0,validation,Price Manupilation,20/10/2021 14:31,Validation,https://slowmist.medium.com/detailed-analysis-of-the-31-million-monox-protocol-hack-574d8c44a9c8,True
Omni Bridge001.csv,3,61,1937,0,validation,Access Control,16/10/2021 7:41,Validation,https://cryptoslate.com/ethereum-pow-loses-200-weth-to-omni-bridge-vulnerability-exploit/,True
Peak_Defi001.csv,2,11,113,3,validation,Access Control,19/08/2021 23:46,Validation,,True
QAN_Platform001.csv,6,14,113,17,validation,Access Control,01/11/2021 13:00,Validation,https://defiyield.app/rekt-database/qan,True
RBaseFinance001.csv,1,3,40,1,validation,Rug pull,10/12/2020 15:57,Validation,https://defiyield.app/rekt-database/rbase_finance,True
RBaseFinance002.csv,1,0,3,1,validation,Rug pull,10/12/2020 15:02,Validation,https://defiyield.app/rekt-database/rbase_finance,True
Reflation001.csv,3,2,88,0,validation,Rug pull,14/12/2020 20:47,Validation,https://archive.ph/N2HfF,True
RibbonFinance001.csv,1,11,120,0,validation,Phishing,12/05/2019 2:33,Validation,https://coinculture.com/au/tech/ribbon-finance-community-accuse-vc-of-airdrop-exploit/,True
Ronin001.csv,2,520,18175,0,validation,Access Control,25/02/2022 2:08,Validation,https://medium.com/uno-re/biggest-crypto-hack-of-all-time-a-breakdown-of-the-ronin-network-hack-ef8d9e25ba6b,True
SashimiSwap001.csv,2,779,14432,0,validation,Flash Loan Attack,28/09/2020 12:37,Validation,https://defiyield.app/rekt-database/sashimi,True
SushiSwap001.csv,0,353,899,1,validation,Access Control,16/09/2021 16:04,Validation,https://www.pymnts.com/news/security-and-risk/2021/sushiswap-crypto-platform-victimized-by-3m-hack/,False
Unicrypt001.csv,1,0,10727,0,validation,Rug pull,16/12/2020 12:11,Validation,,True
XToken001.csv,0,0,0,1,validation,Flash Loan Attack,12/05/2021 13:43,Validation,https://thedefiant.io/xtoken-defi-project-hacked-for-over-25m/,False
bZx001.csv,2,5701,19223,0,validation,Access Control,22/09/2021 0:34,Validation,https://www.coindesk.com/business/2021/11/05/defi-lender-bzx-suffers-hack-for-reported-55m/,True
